X,Y,OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
-117.8096,34.0184,5139655,435019655,EDIBLE SUPPLY INC,GOLDEN SPRINGS DR,DIAMOND BAR,CA,California,91765,2030,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8107,34.0016,5489103,439232096,WALMART NEIGHBORHOOD MARKET,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,2203,44511003,541105,17152.00000000000,2,005889993,2,65.00000000000,2,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8104,34.0212,11171819,726970417,SPROUTS FARMERS MARKET,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,1606,44511003,541105,20582.00000000000,2,402336586,2,78.00000000000,d,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8107,34.0016,11701976,737292667,WALMART GROCERY PICKUP,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,2203,44511009,541110,1056.00000000000,2,005889993,2,4.00000000000,H,,1,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8118,34.0473,8074635,700604454,E COOL MART,POMONA BLVD,POMONA,CA,California,91768,3260,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8095,34.0215,9903334,719384210,SMART & FINAL EXTRA!,S DIAMOND BAR BLVD,DIAMOND BAR,CA,California,91765,1605,44511003,541105,3959.00000000000,2,617177407,2,15.00000000000,2,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7573,33.9943,1642680,357091495,STATER BROS MARKETS,CHINO HILLS PKWY,CHINO HILLS,CA,California,91709,4832,44511003,541105,24987.00000000000,2,861921039,,95.00000000000,{,,8,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.7549,34.0074,3331899,414723605,KITCHEN POWERHOUSE INC,ANOCHECER AVE,CHINO HILLS,CA,California,91709,1351,44511002,541104,1053.00000000000,,000000000,,4.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7343,34.0011,12387608,861841286,ALBERTSONS,GRAND AVE,CHINO HILLS,CA,California,91709,1498,44511003,541105,21568.00000000000,2,579284589,,82.00000000000,D,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.763,34.0548,770998,172646069,PAK-A-BAG MARKET,W MISSION BLVD,POMONA,CA,California,91766,1403,44511001,541101,792.00000000000,,000000000,,3.00000000000,,,1,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.7625,34.0436,1506353,306661174,M & H MARKET,W PHILLIPS BLVD,POMONA,CA,California,91766,4331,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7614,34.0266,2257766,401927403,WINCO FOODS,RIO RANCHO RD,POMONA,CA,California,91766,4771,44511003,541105,36942.00000000000,2,452153778,,140.00000000000,4,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7491,34.0308,3656676,417220865,NUTRICION FUNDAMENTAL,S GAREY AVE,POMONA,CA,California,91766,5616,44511002,541104,2375.00000000000,,000000000,,9.00000000000,,,3,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.7494,34.0263,3889127,421732540,SIERRA FOODS INC,S GAREY AVE,POMONA,CA,California,91766,5808,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.783,34.0329,5024203,433874920,R S A FOODS LLC,WILLOWBROOK LN,POMONA,CA,California,91766,4852,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7558,34.0548,5808130,455244947,POMONA RANCH MARKET,W MISSION BLVD,POMONA,CA,California,91766,1535,44511003,541105,792.00000000000,,000000000,,3.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7703,34.0509,6174262,496417528,9TH STREET MARKET,W 9TH ST,POMONA,CA,California,91766,2607,44511001,541101,264.00000000000,,000000000,,1.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.7641,34.0544,6233398,503869265,POMONA FOOD BASKET LLC,W MISSION BLVD,POMONA,CA,California,91766,1342,44511001,541101,1320.00000000000,,000000000,,5.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7481,34.0345,6316469,515207546,FOOD 4 LESS,S GAREY AVE,POMONA,CA,California,91766,5726,44511003,541105,15833.00000000000,2,007521503,2,60.00000000000,2,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.749,34.0298,8045773,700337387,POMONA FAMILLA,S GAREY AVE,POMONA,CA,California,91766,5645,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.7761,34.035,8493469,708115590,SOUTHERN MILLS INC,SUNDANCE DR,POMONA,CA,California,91766,4873,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7492,34.0334,11627297,736290584,N S FOODS INC,S GAREY AVE,POMONA,CA,California,91766,5726,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,1,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.932,34.0624,771691,172761074,VONS,S GLENDORA AVE,WEST COVINA,CA,California,91790,3707,44511003,541105,21110.00000000000,2,579284589,,80.00000000000,p,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9219,34.0704,10748133,724185476,WEST COVINA FARMERS MARKET,GLENDORA AVE,WEST COVINA,CA,California,91790,,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,2,StreetAddress,M,92.42190000000,INFOGROUP,0
-117.9089,34.0815,3728268,418449971,FOOD 4 LESS,N AZUSA AVE,WEST COVINA,CA,California,91791,1103,44511003,541105,17152.00000000000,2,007521503,2,65.00000000000,2,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9001,34.0809,8691931,710634781,C TOWN BARBELL CLUB,S HOLLENBECK AVE,COVINA,CA,California,91723,2955,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9078,34.0771,11427853,734414476,STATER BROS MARKETS,N AZUSA AVE,WEST COVINA,CA,California,91791,1346,44511003,541105,21110.00000000000,2,861921039,,80.00000000000,{,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.9065,34.0868,12466733,875333213,SMART & FINAL EXTRA!,N AZUSA AVE,COVINA,CA,California,91722,3604,44511003,541105,10555.00000000000,2,617177407,2,40.00000000000,2,,6,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9399,34.1213,1556675,312718935,Q & B FOODS INC,1ST ST,BALDWIN PARK,CA,California,91706,6201,44511003,541105,19263.00000000000,,000000000,,73.00000000000,,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9269,34.1065,9295161,715642346,H & H FOOD & BEVERAGE INC,ARROW HWY,IRWINDALE,CA,California,91706,2056,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9161,34.1221,768684,172378614,CERTIFIED MARKET,W 1ST ST,AZUSA,CA,California,91702,4344,44511003,541105,1056.00000000000,,000000000,,4.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9063,34.1103,768708,172381683,JERRY'S MARKET,E NEWBURGH ST,AZUSA,CA,California,91702,5540,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,1,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.9202,34.1077,768753,172385767,VALLEY DALE MARKETS,N CLYDEBANK AVE,AZUSA,CA,California,91702,5105,44511001,541101,792.00000000000,,000000000,,3.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9085,34.0912,2361813,402526278,INDIA FRESH,N AZUSA AVE,COVINA,CA,California,91722,3502,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,4,PointAddress,M,100.00000000000,INFOGROUP,0
-117.909,34.106,6639792,559814579,EL SUPER,W ARROW HWY,COVINA,CA,California,91722,1252,44511003,541105,18471.00000000000,2,425105750,,70.00000000000,,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9073,34.1047,9607006,718051331,ALDI,N AZUSA AVE,COVINA,CA,California,91722,1251,44511003,541105,2639.00000000000,2,200026573,,10.00000000000,a,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.892,34.0753,5026358,433908405,ELEMENTS NATURAL FOOD,E WORKMAN AVE,WEST COVINA,CA,California,91791,1534,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8819,34.0742,11745996,737773896,JJW FOOD GROUP LLC,N BARRANCA ST,WEST COVINA,CA,California,91791,1691,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8902,34.0817,2361814,402526280,BAJA RANCH MARKET,S CITRUS AVE,COVINA,CA,California,91723,2928,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,3,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8902,34.0849,3309173,414492083,FREDDY'S FOOD COURT,S CITRUS AVE,COVINA,CA,California,91723,2661,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,3,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8715,34.0854,6069576,484930318,VONS,E BADILLO ST,COVINA,CA,California,91724,2950,44511003,541105,18471.00000000000,2,579284589,,70.00000000000,p,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8809,34.0748,11510315,735118672,TAPIOCA WORLD LLC,S BARRANCA AVE,COVINA,CA,California,91723,3681,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8909,34.1048,1434368,268302569,SUPERIOR GROCERS,N CITRUS AVE,COVINA,CA,California,91722,1797,44511003,541105,528.00000000000,2,301663639,,2.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8763,34.093,7367429,646429191,DON PEDRO'S MEAT,E EDNA PL,COVINA,CA,California,91723,1409,44511003,541105,5278.00000000000,,000000000,,20.00000000000,,,6,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8727,34.0985,8292785,706342251,STATER BROS MARKETS,N GRAND AVE,COVINA,CA,California,91724,2048,44511003,541105,21110.00000000000,2,861921039,,80.00000000000,{,,8,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8531,34.1062,895060,210952206,ROSIE THAI FOOD,E ARROW HWY,COVINA,CA,California,91724,1238,44511002,541104,1584.00000000000,,000000000,,6.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8475,34.1066,6403135,527001812,BASHA MARKET,E ARROW HWY,COVINA,CA,California,91724,1319,44511001,541101,2375.00000000000,,000000000,,9.00000000000,,,2,StreetAddress,M,95.40630000000,INFOGROUP,0
-117.8554,34.1063,8500684,708167380,SIERRA FOOD INC,E ARROW HWY,COVINA,CA,California,91724,1204,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,3,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9177,34.1298,768724,172383416,OH YEAH LA ESQUINA MARKET,N VIRGINIA AVE,AZUSA,CA,California,91702,3338,44511001,541101,528.00000000000,,000000000,,2.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9284,34.1329,6639793,559814595,HOMEGROCER.COM,W FOOTHILL BLVD,AZUSA,CA,California,91702,2846,44511003,541105,528.00000000000,,000000000,,2.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9079,34.1318,7577813,665310637,MOMMY'S NUTRITIONAL CTR,N AZUSA AVE,AZUSA,CA,California,91702,2910,44511001,541101,1056.00000000000,,000000000,,4.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.9046,34.1339,11266010,730308931,SMART & FINAL EXTRA!,E FOOTHILL BLVD,AZUSA,CA,California,91702,2516,44511003,541105,3959.00000000000,2,617177407,2,15.00000000000,2,,4,PointAddress,M,100.00000000000,INFOGROUP,0
-117.899,34.1295,11542047,735532074,DRIVE IN SNACKS & PARTY SUPLS,E 5TH ST,AZUSA,CA,California,91702,3800,44511005,541102,264.00000000000,,000000000,,1.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8829,34.1294,768741,172384711,STATER BROS MARKETS,E ALOSTA AVE,AZUSA,CA,California,91702,2740,44511003,541105,13194.00000000000,2,861921039,,50.00000000000,{,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8717,34.1372,770067,172527483,VONS,W FOOTHILL BLVD,GLENDORA,CA,California,91741,3363,44511003,541105,34303.00000000000,2,579284589,,130.00000000000,p,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8901,34.1277,9607005,718051328,GROCERY OUTLET,N CITRUS AVE,AZUSA,CA,California,91702,3909,44511003,541105,6069.00000000000,2,457910685,,23.00000000000,,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-117.8738,34.1275,10583324,723408355,SPROUTS FARMERS MARKET,S GRAND AVE,GLENDORA,CA,California,91740,4107,44511003,541105,20582.00000000000,2,402336586,2,78.00000000000,d,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8651,34.1297,952737,216928317,ALBERTSONS,W ROUTE 66,GLENDORA,CA,California,91740,6208,44511003,541105,26387.00000000000,2,579284589,,100.00000000000,D,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8642,34.1291,3884304,421715687,SIERRA FOODS INC,E ROUTE 66,GLENDORA,CA,California,91740,6240,44511002,541104,1584.00000000000,,000000000,,6.00000000000,,,3,PointAddress,M,93.32810000000,INFOGROUP,0
-117.8596,34.1502,4738730,432256939,HUFF FOODS LLC,N BANNA AVE,GLENDORA,CA,California,91741,2164,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8661,34.1394,10427765,722541527,S P D FOODS INC,W BENNETT AVE,GLENDORA,CA,California,91741,2568,44511002,541104,1320.00000000000,,000000000,,5.00000000000,,,4,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8489,34.1394,10652260,723723600,PERFECTLY PORTIONED SNACKS,E BENNETT AVE,GLENDORA,CA,California,91741,2863,44511005,541102,792.00000000000,,000000000,,3.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-117.8294,34.0728,771282,172692154,VONS,VIA VERDE,SAN DIMAS,CA,California,91773,4401,44511003,541105,14249.00000000000,2,579284589,,54.00000000000,p,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-117.7958,34.0609,1467123,301668646,PEREZ MARKET INC,VALLEY BLVD,POMONA,CA,California,91768,2756,44511001,541101,1584.00000000000,,000000000,,6.00000000000,,,4,PointAddress,M,100.00000000000,INFOGROUP,0
